full_area_m2,inside_area_m2,inside_share,grid_id,cell_area_km2,inside_area_km2,province,district,district_id,centroid_x,centroid_y,longitude,latitude,dist_kapikule_km,dist_hamzabeyli_km,dist_derekoy_km,dist_pazarkule_km,dist_ipsala_km,euclidean_distance_km,nearest_gate_col,nearest_gate,nearest_border_country
1000000.0,1000000.0,1.0,G004802,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4640500.0,26.764851166412967,41.91621074579057,40.192434211602446,13.549926513487483,57.833444714707554,36.8965587183815,115.17781446036174,13.549926513487483,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004803,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4641500.0,26.764818096662314,41.92521746233164,40.75325050506845,13.238639685116635,57.74198458311864,37.68623143745686,116.12611196860922,13.238639685116635,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004804,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4642500.0,26.764785011817395,41.93422416467375,41.330655518679265,12.997024771222797,57.667722684575345,38.48568610088885,117.0752698823557,12.997024771222797,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004805,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4643500.0,26.764751911870224,41.94323085281642,41.92396384502072,12.829018867209331,57.61072552618185,39.294325663570525,118.02526744348805,12.829018867209331,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,1000000.0,1.0,G004806,1.0,1.0,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4644500.0,26.7647187968128,41.95223752675919,42.5325099583069,12.737534976856669,57.571044385880626,40.11159463363835,118.97608453881533,12.737534976856669,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,928597.9864207343,0.9285979864207343,G004807,1.0,0.9285979864207343,Edirne,Lalapasa,Edirne_Lalapasa,480500.0,4645500.0,26.764685666637124,41.96124418650162,43.155649250455575,12.724223727916803,57.54871508304083,40.93697617987817,119.92770167591716,12.724223727916803,dist_hamzabeyli_km,Hamzabeyli,Bulgaria
1000000.0,947521.9195741619,0.9475219195741619,G004808,1.0,0.9475219195741619,Edirne,Kesan,Edirne_Kesan,481500.0,4507500.0,26.780958074991176,40.71821419711998,116.05094663513101,138.3514284955472,149.8616127014759,106.75646720866354,44.60340246848543,44.60340246848543,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004809,1.0,1.0,Edirne,Kesan,Edirne_Kesan,481500.0,4508500.0,26.780928540393546,40.7272228047341,115.09655891374379,137.3563935131887,148.9360010793735,105.78203668663711,44.0773008343994,44.0773008343994,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004810,1.0,1.0,Edirne,Kesan,Edirne_Kesan,481500.0,4509500.0,26.780898992433958,40.73623139822513,114.14295218128787,136.36143117150604,148.01135724512196,104.80808785714787,43.567802170026894,43.567802170026894,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004811,1.0,1.0,Edirne,Kesan,Edirne_Kesan,481500.0,4510500.0,26.780869431105554,40.74523997759242,113.19014617684103,135.36654307225552,147.08769945026367,103.8346342747458,43.07549562114236,43.07549562114236,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004812,1.0,1.0,Edirne,Kesan,Edirne_Kesan,481500.0,4511500.0,26.78083985640148,40.754248542835334,112.23816129289321,134.37173086450977,146.16504638797565,102.86169000006176,42.60097721986561,42.60097721986561,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004813,1.0,1.0,Edirne,Kesan,Edirne_Kesan,481500.0,4512500.0,26.780810268314884,40.763257093953214,111.28701860183146,133.37699624641303,145.24341720583087,101.88926962328954,42.14484781284615,42.14484781284615,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004814,1.0,1.0,Edirne,Kesan,Edirne_Kesan,481500.0,4513500.0,26.780780666838883,40.772265630945434,110.33673988368177,132.38234096701535,144.322831518977,100.91738828896624,41.70771072893377,41.70771072893377,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004815,1.0,1.0,Edirne,Kesan,Edirne_Kesan,481500.0,4514500.0,26.780751051966615,40.781274153811324,109.387347655175,131.38776682818894,143.40330942374723,99.94606172213373,41.29016918503569,41.29016918503569,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004816,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4515500.0,26.780721423691197,40.79028266255026,108.43886520020853,130.39327568663185,142.48487151171864,98.9753062559705,40.89282343406144,40.89282343406144,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004817,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4516500.0,26.78069178200575,40.79929115716162,107.49131660177889,129.39886945596322,141.56753888423344,98.00513886098904,40.51626766485011,40.51626766485011,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004818,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4517500.0,26.780662126903387,40.80829963764475,106.54472677546617,128.40455010891495,140.65133316739988,97.03557717590148,40.16108667068451,40.16108667068451,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004819,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4518500.0,26.780632458377212,40.817308103999004,105.59912150455423,127.41031967962518,139.73627652758927,96.0666395402635,39.82785231029521,39.82785231029521,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004820,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4519500.0,26.780602776420327,40.82631655622379,104.65452747687738,126.4161802660392,138.8223916874467,95.09834502901461,39.51711979295988,39.51711979295988,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004821,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4520500.0,26.78057308102583,40.83532499431842,103.71097232348828,125.42213403242329,137.90970194243351,94.1307134890419,39.22942382716824,39.22942382716824,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004822,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4521500.0,26.780543372186813,40.84433341828228,102.76848465924864,124.42818321199819,136.99823117792005,93.16376557790417,38.9652746800539,38.9652746800539,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004823,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4522500.0,26.780513649896356,40.85334182811477,101.82709412544921,123.43433010969848,136.08800388684816,92.1975228048632,38.725154202049396,38.725154202049396,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004824,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4523500.0,26.780483914147553,40.86235022381524,100.88683143457308,122.44057710506536,135.1790451879831,91.2320075743807,38.509511877625215,38.509511877625215,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004825,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4524500.0,26.780454164933467,40.871358605383044,99.94772841732241,121.4469266552797,134.27138084477554,90.26724323225145,38.31876096813951,38.31876096813951,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004826,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4525500.0,26.780424402247174,40.8803669728176,99.0098180720362,120.45338129834431,133.36503728485485,89.30325411455638,38.15327481637541,38.15327481637541,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004827,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4526500.0,26.78039462608174,40.88937532611825,98.07313461663483,119.45994365642298,132.4600416201758,88.34006559963389,38.013383383938866,38.013383383938866,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004828,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4527500.0,26.780364836430227,40.89838366528436,97.13771354323434,118.46661643934627,131.5564216678406,87.37770416328304,37.899370092057914,37.899370092057914,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004829,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4528500.0,26.780335033285688,40.907391990315354,96.2035916755831,117.47340244829304,130.65420597162057,86.41619743742949,37.81146903328708,37.81146903328708,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004830,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4529500.0,26.780305216641167,40.91640030121057,95.27080722948239,116.48030457965868,129.7534238242006,85.45557427250363,37.74986261611666,37.74986261611666,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004831,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4530500.0,26.780275386489716,40.9254085979694,94.33939987636164,115.4873258291207,128.8541052901715,84.49586480379955,37.7146796965868,37.7146796965868,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004832,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4531500.0,26.780245542824375,40.93441688059126,93.4094108101905,114.4944692959137,127.95628122979575,83.5371005221067,37.70599424092395,37.70599424092395,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004833,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4532500.0,26.78021568563817,40.94342514907548,92.48088281791976,113.50173818732628,127.05998332357262,82.5793143489285,37.723824551297085,37.723824551297085,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004834,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4533500.0,26.78018581492414,40.95243340342147,91.55386035365564,112.50913582343344,126.16524409762987,81.62254071662885,37.768133073498596,37.768133073498596,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004835,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4534500.0,26.7801559306753,40.96144164362864,90.62838961678369,111.51666564207892,125.27209694996928,80.66681565387545,37.83882679124648,37.83882679124648,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004836,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4535500.0,26.78012603288467,40.97044986969634,89.7045186342718,110.52433120412292,124.38057617759486,79.71217687677907,37.9357581974897,37.9357581974897,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004837,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4536500.0,26.780096121545267,40.97945808162397,88.78229734739516,109.53213619897174,123.49071700455242,78.75866388616238,38.05872681920483,38.05872681920483,dist_ipsala_km,Ipsala,Greece
1000000.0,1000000.0,1.0,G004838,1.0,1.0,Tekirdag,Malkara,Tekirdag_Malkara,481500.0,4537500.0,26.780066196650097,40.98846627941093,87.86177770314097,108.5400844504072,122.60255561091061,77.80631807142711,38.20748125929417,38.20748125929417,dist_ipsala_km,Ipsala,Greece
