full_area_m2,inside_area_m2,inside_share,grid_id,cell_area_km2,inside_area_km2,province,district,district_id,centroid_x,centroid_y,longitude,latitude
1000000.0,1000000.0,1.0,G000131,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4512500.0,26.152902443680702,40.76035634323091
1000000.0,1000000.0,1.0,G000132,1.0,1.0,Edirne,Enez,Edirne_Enez,428500.0,4513500.0,26.152788059088714,40.76936396396771
1000000.0,1000000.0,1.0,G000133,1.0,1.0,Edirne,Ipsala,Edirne_Ipsala,428500.0,4514500.0,26.152673622737808,40.77837157033368
1000000.0,1000000.0,1.0,G000134,1.0,1.0,Edirne,Ipsala,Edirne_Ipsala,428500.0,4515500.0,26.152559134601425,40.78737916232802
1000000.0,962401.9504728261,0.9624019504728262,G000135,1.0,0.9624019504728262,Edirne,Ipsala,Edirne_Ipsala,428500.0,4516500.0,26.152444594652977,40.79638673994996
1000000.0,529597.2016245543,0.5295972016245544,G000136,1.0,0.5295972016245544,Edirne,Ipsala,Edirne_Ipsala,428500.0,4517500.0,26.15233000286586,40.805394303198696
1000000.0,1000000.0,1.0,G000137,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4495500.0,26.166658323700787,40.60731047789271
1000000.0,1000000.0,1.0,G000138,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4496500.0,26.166546401887935,40.61631836996284
1000000.0,1000000.0,1.0,G000139,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4497500.0,26.16643442948193,40.625326247682864
1000000.0,1000000.0,1.0,G000140,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4498500.0,26.166322406456906,40.634334111051984
1000000.0,1000000.0,1.0,G000141,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4499500.0,26.166210332786978,40.6433419600694
1000000.0,1000000.0,1.0,G000142,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4500500.0,26.166098208446254,40.65234979473432
1000000.0,1000000.0,1.0,G000143,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4501500.0,26.1659860334088,40.66135761504592
1000000.0,1000000.0,1.0,G000144,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4502500.0,26.16587380764868,40.670365421003446
1000000.0,1000000.0,1.0,G000145,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4503500.0,26.165761531139935,40.67937321260605
1000000.0,1000000.0,1.0,G000146,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4504500.0,26.16564920385659,40.68838098985297
1000000.0,1000000.0,1.0,G000147,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4505500.0,26.165536825772634,40.69738875274343
1000000.0,1000000.0,1.0,G000148,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4506500.0,26.165424396862054,40.706396501276586
1000000.0,1000000.0,1.0,G000149,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4507500.0,26.165311917098816,40.71540423545169
1000000.0,1000000.0,1.0,G000150,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4508500.0,26.16519938645686,40.72441195526794
1000000.0,1000000.0,1.0,G000151,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4509500.0,26.1650868049101,40.73341966072454
1000000.0,1000000.0,1.0,G000152,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4510500.0,26.16497417243245,40.74242735182071
1000000.0,1000000.0,1.0,G000153,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4511500.0,26.164861488997794,40.75143502855567
1000000.0,1000000.0,1.0,G000154,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4512500.0,26.164748754579986,40.76044269092863
1000000.0,1000000.0,1.0,G000155,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4513500.0,26.16463596915288,40.769450338938796
1000000.0,1000000.0,1.0,G000156,1.0,1.0,Edirne,Enez,Edirne_Enez,429500.0,4514500.0,26.16452313269029,40.778457972585414
1000000.0,1000000.0,1.0,G000157,1.0,1.0,Edirne,Ipsala,Edirne_Ipsala,429500.0,4515500.0,26.164410245166035,40.787465591867665
1000000.0,1000000.0,1.0,G000158,1.0,1.0,Edirne,Ipsala,Edirne_Ipsala,429500.0,4516500.0,26.16429730655389,40.79647319678481
