grid_id,year,built_share,built_pct
G001059,2020,0.0002578588235294118,0.02578588235294118
G001059,2021,0.0002578588235294118,0.02578588235294118
G001059,2022,0.0002578588235294118,0.02578588235294118
G001059,2023,0.0002578588235294118,0.02578588235294118
G001059,2024,0.0002578588235294118,0.02578588235294118
G001059,2025,0.0002578588235294118,0.02578588235294118
G001060,2014,0.009354160784313724,0.9354160784313723
G001060,2015,0.009354160784313724,0.9354160784313723
G001060,2016,0.009446247843137254,0.9446247843137254
G001060,2017,0.009538334901960783,0.9538334901960783
G001060,2018,0.009630421960784313,0.9630421960784313
G001060,2019,0.009722509019607842,0.9722509019607842
G001060,2020,0.009814596078431373,0.9814596078431372
G001060,2021,0.009814596078431373,0.9814596078431372
G001060,2022,0.009814596078431373,0.9814596078431372
G001060,2023,0.009814596078431373,0.9814596078431372
G001060,2024,0.009814596078431373,0.9814596078431372
G001060,2025,0.009814596078431373,0.9814596078431372
G001061,2014,8.494117647058823e-06,0.0008494117647058823
G001061,2015,8.494117647058823e-06,0.0008494117647058823
G001061,2016,8.583529411764706e-06,0.0008583529411764706
G001061,2017,8.672941176470589e-06,0.0008672941176470589
G001061,2018,8.76235294117647e-06,0.000876235294117647
G001061,2019,8.851764705882352e-06,0.0008851764705882353
G001061,2020,8.941176470588235e-06,0.0008941176470588236
G001061,2021,8.941176470588235e-06,0.0008941176470588236
G001061,2022,8.941176470588235e-06,0.0008941176470588236
G001061,2023,8.941176470588235e-06,0.0008941176470588236
G001061,2024,8.941176470588235e-06,0.0008941176470588236
G001061,2025,8.941176470588235e-06,0.0008941176470588236
G001062,2014,0.0,0.0
G001062,2015,0.0,0.0
G001062,2016,0.0,0.0
G001062,2017,0.0,0.0
G001062,2018,0.0,0.0
G001062,2019,0.0,0.0
G001062,2020,0.0,0.0
G001062,2021,0.0,0.0
G001062,2022,0.0,0.0
G001062,2023,0.0,0.0
G001062,2024,0.0,0.0
G001062,2025,0.0,0.0
G001063,2014,0.0,0.0
G001063,2015,0.0,0.0
G001063,2016,0.0,0.0
G001063,2017,0.0,0.0
G001063,2018,0.0,0.0
G001063,2019,0.0,0.0
G001063,2020,0.0,0.0
G001063,2021,0.0,0.0
G001063,2022,0.0,0.0
G001063,2023,0.0,0.0
G001063,2024,0.0,0.0
G001063,2025,0.0,0.0
G001064,2014,0.0,0.0
G001064,2015,0.0,0.0
G001064,2016,0.0,0.0
G001064,2017,0.0,0.0
G001064,2018,0.0,0.0
G001064,2019,0.0,0.0
G001064,2020,0.0,0.0
G001064,2021,0.0,0.0
G001064,2022,0.0,0.0
G001064,2023,0.0,0.0
G001064,2024,0.0,0.0
G001064,2025,0.0,0.0
G001065,2014,4.3e-05,0.0043
G001065,2015,4.3e-05,0.0043
G001065,2016,4.3e-05,0.0043
G001065,2017,4.3e-05,0.0043
G001065,2018,4.3e-05,0.0043
G001065,2019,4.3e-05,0.0043
G001065,2020,4.3e-05,0.0043
G001065,2021,4.3e-05,0.0043
G001065,2022,4.3e-05,0.0043
G001065,2023,4.3e-05,0.0043
G001065,2024,4.3e-05,0.0043
G001065,2025,4.3e-05,0.0043
G001066,2014,0.000244,0.024399999999999998
G001066,2015,0.000244,0.024399999999999998
G001066,2016,0.0002452,0.02452
G001066,2017,0.0002464,0.024640000000000002
G001066,2018,0.0002476,0.02476
G001066,2019,0.0002488,0.02488
G001066,2020,0.00025,0.025
G001066,2021,0.00025,0.025
G001066,2022,0.00025,0.025
G001066,2023,0.00025,0.025
G001066,2024,0.00025,0.025
G001066,2025,0.00025,0.025
G001067,2014,0.0,0.0
G001067,2015,0.0,0.0
G001067,2016,0.0,0.0
G001067,2017,0.0,0.0
G001067,2018,0.0,0.0
G001067,2019,0.0,0.0
G001067,2020,0.0,0.0
G001067,2021,0.0,0.0
G001067,2022,0.0,0.0
G001067,2023,0.0,0.0
G001067,2024,0.0,0.0
G001067,2025,0.0,0.0
G001068,2014,0.002194501960784314,0.2194501960784314
G001068,2015,0.002194501960784314,0.2194501960784314
